complaint,category
The municipal water supply has stopped,Water
The school playground is damaged,Education
The bus stop is poorly maintained,Public Transport
I want to report an issue affecting residents,Other
The bus route has been cancelled,Public Transport
There is no electricity in our area,Electricity
Public buses are overcrowded,Public Transport
Students are facing problems because of damaged classrooms,Education
Bus services are frequently delayed,Public Transport
The local authorities need to investigate this issue,Other
The garbage bins are overflowing,Sanitation
There are not enough teachers in our school,Education
The school electricity supply is unreliable,Education
Power has been out since yesterday,Electricity
The road near our school is badly damaged,Roads
There is a shortage of doctors at the health center,Healthcare
The school has no proper computer facilities,Education
The public transport service is unreliable,Public Transport
There is a bad smell from accumulated garbage,Sanitation
There are no medicines available at the hospital,Healthcare
Water pressure is extremely low,Water
The ambulance service is not responding,Healthcare
The bus did not arrive today,Public Transport
I want to report an unresolved civic issue,Other
Our area has had no water since yesterday,Water
Water has not been coming for three days,Water
The school toilets are not usable,Education
The public hospital needs more staff,Healthcare
Road maintenance has not been completed,Roads
The school building needs repair,Education
The road needs urgent repair,Roads
The public garbage bin is overflowing,Sanitation
There is a problem with the electricity connection,Electricity
The garbage truck has not arrived,Sanitation
Patients are waiting too long for treatment,Healthcare
The electric pole is damaged,Electricity
The health center lacks basic facilities,Healthcare
There is a power outage in our neighborhood,Electricity
The government hospital does not have enough medicines,Healthcare
Power cuts are happening frequently,Electricity
Uncollected garbage is attracting animals,Sanitation
Garbage is scattered around the road,Sanitation
The classroom roof is damaged,Education
A damaged road is causing traffic problems,Roads
The hospital is overcrowded,Healthcare
The local clinic is closed during working hours,Healthcare
The main road has cracks everywhere,Roads
Street lights have stopped working,Electricity
There are not enough buses on this route,Public Transport
Please take action on this complaint,Other
The road is unsafe for vehicles,Roads
The water connection is not working,Water
Sanitation workers have not visited,Sanitation
Buses are not arriving on time,Public Transport
Road construction has been incomplete for months,Roads
Waste collection is irregular,Sanitation
I would like to report a local issue,Other
The area is completely dark at night,Electricity
Our neighborhood is facing a water shortage,Water
Public transport is causing problems for students,Public Transport
The health center is facing serious problems,Healthcare
Emergency services are delayed,Healthcare
Our street has no working lights,Electricity
There is garbage lying on the street,Sanitation
The transformer is making unusual sounds,Electricity
There is a leakage in the water pipeline,Water
Patients are unable to receive timely treatment,Healthcare
There is a large pothole on the main road,Roads
There is a large pile of waste,Sanitation
There is no drinking water available,Water
Several street lamps are broken,Electricity
Electricity wires are hanging dangerously,Electricity
Garbage has not been collected for several days,Sanitation
Water tanker has not arrived,Water
Our area has a serious waste problem,Sanitation
Passengers are waiting for a long time,Public Transport
This public problem has not been addressed,Other
Please take appropriate action,Other
The bus schedule is not being followed,Public Transport
The road surface is broken,Roads
There is a shortage of books in the library,Education
The power supply has been interrupted,Electricity
The bus stop needs urgent repair,Public Transport
There is a dangerous pothole near the bus stop,Roads
There is no water supply in our area,Water
This issue needs government attention,Other
I want to report a public service problem,Other
The area needs urgent cleaning,Sanitation
The problem in our locality needs attention,Other
Waste is being dumped near houses,Sanitation
Please look into this community problem,Other
The education facility needs maintenance,Education
The classroom fans are not working,Education
Our area has very limited bus service,Public Transport
A large hole has appeared on the road,Roads
Medical equipment is not working,Healthcare
The bus service has stopped in our area,Public Transport
Students do not have proper drinking water,Education
Emergency medical services are unavailable,Healthcare
Vehicles are struggling because of the damaged road,Roads
The footpath is broken,Roads
There is an issue in our local area,Other
Residents are facing an unresolved problem,Other
Water supply is irregular in our locality,Water
The street has not been cleaned,Sanitation
Our school does not have enough classrooms,Education
Residents are not receiving water,Water
The ambulance has not arrived,Healthcare
I need help regarding a civic service,Other
The school needs better facilities,Education
Our water supply has been disrupted,Water
Please investigate this public complaint,Other
The street is full of potholes,Roads
The bridge road is damaged,Roads
The street lights are not working,Electricity
The electricity supply is unstable,Electricity
There are no buses after 8 PM,Public Transport
The water pipeline is damaged,Water
The public water tap is not working,Water
Students are missing classes because of infrastructure problems,Education
